PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=82 ttl=64 time=24.5 ms
64 bytes from 10.0.0.1: icmp_seq=83 ttl=64 time=23.4 ms
64 bytes from 10.0.0.1: icmp_seq=84 ttl=64 time=14.2 ms
64 bytes from 10.0.0.1: icmp_seq=85 ttl=64 time=14.8 ms
64 bytes from 10.0.0.1: icmp_seq=86 ttl=64 time=17.8 ms
64 bytes from 10.0.0.1: icmp_seq=87 ttl=64 time=19.6 ms
64 bytes from 10.0.0.1: icmp_seq=88 ttl=64 time=19.2 ms
64 bytes from 10.0.0.1: icmp_seq=89 ttl=64 time=12.1 ms
64 bytes from 10.0.0.1: icmp_seq=90 ttl=64 time=20.4 ms
64 bytes from 10.0.0.1: icmp_seq=91 ttl=64 time=20.2 ms
64 bytes from 10.0.0.1: icmp_seq=92 ttl=64 time=17.5 ms
64 bytes from 10.0.0.1: icmp_seq=93 ttl=64 time=20.1 ms
64 bytes from 10.0.0.1: icmp_seq=94 ttl=64 time=21.8 ms
64 bytes from 10.0.0.1: icmp_seq=95 ttl=64 time=15.5 ms
64 bytes from 10.0.0.1: icmp_seq=96 ttl=64 time=11.7 ms
64 bytes from 10.0.0.1: icmp_seq=97 ttl=64 time=0.087 ms
64 bytes from 10.0.0.1: icmp_seq=98 ttl=64 time=36.7 ms
64 bytes from 10.0.0.1: icmp_seq=99 ttl=64 time=0.129 ms
64 bytes from 10.0.0.1: icmp_seq=100 ttl=64 time=0.111 ms
64 bytes from 10.0.0.1: icmp_seq=101 ttl=64 time=0.102 ms
64 bytes from 10.0.0.1: icmp_seq=102 ttl=64 time=0.106 ms
64 bytes from 10.0.0.1: icmp_seq=103 ttl=64 time=0.095 ms
